Hydrolab DS5 46710
"Log File Name : June 22 2009 DS1"
"Setup Date (M/D/YYYY) : 6/22/2009"
"Setup Time (HH:MM:SS) : 11:28:49"
"Starting Date (M/D/YYYY) : 6/22/2009"
"Starting Time (HH:MM:SS) : 11:45:00"
"Stopping Date (M/D/YYYY) : 8/22/2009"
"Stopping Time (HH:MM:SS) : 11:45:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:00:30"
"Circltr warmup (HH:MM:SS) : 00:00:30"

"Date","Time","","Temp","","SpCond","","PAR","","TurbSC","","LDO%","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","µE/s/m²","","NTU","","Sat","","mg/l","","Volts",""

6/22/2009,11:45:00,"","7.90","","137","","0","","99.3","","93.9","","11.04","","12.2",""
6/22/2009,12:00:00,"","7.89","","136","","0","","96.7","","93.4","","10.98","","12.2",""
6/22/2009,12:15:00,"","7.92","","136","","1","","93.1","","93.3","","10.97","","12.2",""
6/22/2009,12:30:00,"","7.92","","135","","1","","88.1","","93.3","","10.96","","12.2",""
6/22/2009,12:45:00,"","7.94","","135","","1","","83.4","","93.5","","10.99","","12.2",""
6/22/2009,13:00:00,"","7.97","","135","","0","","81.4","","93.7","","10.99","","12.2",""
6/22/2009,13:15:00,"","8.04","","134","","1","","81.4","","93.8","","10.99","","12.2",""
6/22/2009,13:30:00,"","8.08","","134","","0","","75.3","","93.9","","10.99","","12.2",""
6/22/2009,13:45:00,"","8.16","","134","","1","","75.5","","94.0","","10.98","","12.2",""
6/22/2009,14:00:00,"","8.22","","134","","1","","73.1","","94.2","","10.99","","12.2",""
6/22/2009,14:15:00,"","8.26","","133","","1","","70.4","","94.2","","10.98","","12.2",""
6/22/2009,14:30:00,"","8.31","","133","","0","","66.4","","94.1","","10.95","","12.2",""
6/22/2009,14:45:00,"","8.37","","133","","0","","62.4","","94.3","","10.95","","12.2",""
6/22/2009,15:00:00,"","8.45","","132","","1","","57.0","","94.2","","10.93","","12.1",""
6/22/2009,15:15:00,"","8.53","","133","","1","","56.5","","94.5","","10.94","","12.2",""
6/22/2009,15:30:00,"","8.65","","132","","1","","51.5","","94.6","","10.92","","12.1",""
6/22/2009,15:45:00,"","8.75","","133","","1","","53.3","","94.6","","10.89","","12.1",""
6/22/2009,16:00:00,"","8.82","","133","","0","","50.9","","94.8","","10.90","","12.2",""
6/22/2009,16:15:00,"","8.88","","132","","1","","50.9","","94.7","","10.87","","12.1",""
6/22/2009,16:30:00,"","8.93","","133","","0","","51.7","","94.7","","10.86","","12.1",""
6/22/2009,16:45:00,"","8.95","","132","","0","","46.8","","94.5","","10.83","","12.1",""
6/22/2009,17:00:00,"","8.97","","133","","0","","44.6","","94.5","","10.83","","12.1",""
6/22/2009,17:15:00,"","9.02","","133","","0","","47.6","","94.4","","10.80","","12.1",""
6/22/2009,17:30:00,"","9.08","","133","","1","","42.9","","94.5","","10.80","","12.1",""
6/22/2009,17:45:00,"","9.11","","133","","1","","41.5","","94.4","","10.78","","12.1",""
6/22/2009,18:00:00,"","9.16","","134","","1","","39.6","","94.3","","10.75","","12.1",""
6/22/2009,18:15:00,"","9.21","","133","","0","","38.2","","94.3","","10.74","","12.1",""
6/22/2009,18:30:00,"","9.26","","134","","1","","41.6","","94.2","","10.72","","12.1",""
6/22/2009,18:45:00,"","9.30","","128","","1","","41.2","","94.1","","10.69","","12.1",""
