Sample,Sample,Site,Taxon,Size,Estimated Count,Concentration,Energy,DateTime,Time,FlowNormalized,FlowChangeNormalized,Temperature,Turbidity,Windspeed,MaxWindspeed,Rainfall,Light,BoatWakes,FineDebrisMass,CoarseDebrisMass,DebrisMass,PumpIntakeVelocity,PumpIntakeProportionalDepth,PumpIntakeWaterDepth,MeanBucketFillTime,LogConcentration,PreyToDebrisRatio,TimeOfDay_s,DateTimeInEpoch_s
2019-05-30 First Bridge #3,2019-05-30 First Bridge #3,First Bridge,,,946,52.11527533,31.65768328,5/30/19 0:48,0:48:00,0.77244898,-0.005714286,7.9,3.35,2.498360656,10.6,0,115,0,12.401,2.381,14.782,0.4,0.424242424,0.33,3.748333333,3.953458098,3.525590267,2880,1559177280
2019-05-30 First Bridge #4,2019-05-30 First Bridge #4,First Bridge,,,688,37.39643347,29.88233947,5/30/19 3:57,3:57:00,0.764285714,-0.003826531,7.7,3.35,1.305,8,0,265.8,0,9.414,1.622,11.036,0.4,0.424242424,0.33,3.698333333,3.621575338,3.388585853,14220,1559188620
2019-05-30 First Bridge #5,2019-05-30 First Bridge #5,First Bridge,,,628.6666667,34.54093997,25.62194885,5/30/19 6:46,6:46:00,0.757142857,-0.001666667,7,3.35,2.488,7.4,0,5989,0,8.766,1.85,10.616,0.4,0.424242424,0.33,3.738333333,3.542145286,3.253668045,24360,1559198760
2019-05-30 First Bridge #6,2019-05-30 First Bridge #6,First Bridge,,,364.6,16.98680188,12.19260969,5/30/19 10:05,10:05:00,0.757142857,-0.000595238,6.9,3.35,0.411428571,3.6,0,19200,0,5.17,1.064,6.234,0.4,0.424242424,0.33,3.698333333,2.832436683,2.724863953,36300,1559210700
2019-05-30 First Bridge #7,2019-05-30 First Bridge #7,First Bridge,,,280.8571429,15.26606898,19.14067604,5/30/19 12:49,12:49:00,0.748979592,-0.004081633,7.6,3.35,0.961764706,6.6,0,18900,0,4.599,1.018,5.617,0.4,0.424242424,0.33,3.698333333,2.725632652,2.717833181,46140,1559220540
2019-05-30 First Bridge #8,2019-05-30 First Bridge #8,First Bridge,,,446,24.18783069,22.9395029,5/30/19 15:47,15:47:00,0.732653061,-0.004098639,9,1.353333333,4.218,16.3,0,19500,0,6.753,1.133,7.886,0.42,0.43902439,0.41,3.69,3.185849643,3.06718624,56820,1559231220
2019-06-03 First Bridge,2019-06-03 First Bridge,First Bridge,,,374.4,21.70387718,9.139498313,6/3/19 15:30,15:30:30,1.12244898,-0.010204082,8.6,4.456666667,4.445454545,15.2,0,66000,0,9.369,0.882,10.251,0.34,0.320512821,0.39,4.01,3.077490916,2.117244872,55830,1559575830
2019-06-03 Nordale,2019-06-03 Nordale,Nordale,,,1396.333333,115.1525791,75.74817467,6/3/19 18:21,18:21:30,1.398550725,-0.001811594,10.858,48.61666667,1.530434783,10,0,43000,0,44.661,0.694,45.355,0.37,0.402439024,0.41,4.208333333,4.746258024,2.538916968,66090,1559586090
2019-06-03 Third Bridge,2019-06-03 Third Bridge,Third Bridge,,,257.8666667,13.98545375,8.604334583,6/3/19 13:04,13:04:30,1.14829932,-0.013435374,6.9,0.896666667,3.696551724,15.8,0,74600,0,1.019,0.157,1.176,0.38,0.394366197,0.355,3.751666667,2.638017772,11.89239265,47070,1559567070
2019-06-10 First Bridge,2019-06-10 First Bridge,First Bridge,,,1089.333333,56.75612385,14.57368076,6/10/19 16:23,16:23:00,0.613265306,0.000952381,10.1365,0.683333333,4.586666667,16.3,0,72900,0,1.004,0.39,1.394,0.18,0.5,0.38,3.545,4.03876356,40.71457952,58980,1560183780
