"Plot Title: 10767519"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Detached (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Attached (LGR S/N: 10767519, SEN S/N: 10767519)","Stopped (LGR S/N: 10767519, SEN S/N: 10767519)","End Of File (LGR S/N: 10767519, SEN S/N: 10767519)"
121,05/11/19 12:00:00 PM,15.509,,,,
122,05/11/19 01:00:00 PM,18.366,,,,
123,05/11/19 02:00:00 PM,18.366,,,,
124,05/11/19 03:00:00 PM,19.960,,,,
125,05/11/19 04:00:00 PM,17.486,,,,
126,05/11/19 05:00:00 PM,14.529,,,,
127,05/11/19 06:00:00 PM,13.497,,,,
128,05/11/19 07:00:00 PM,13.040,,,,
129,05/11/19 08:00:00 PM,12.847,,,,
130,05/11/19 09:00:00 PM,12.775,,,,
131,05/11/19 10:00:00 PM,12.703,,,,
132,05/11/19 11:00:00 PM,12.727,,,,
133,05/12/19 12:00:00 AM,12.582,,,,
134,05/12/19 01:00:00 AM,12.340,,,,
135,05/12/19 02:00:00 AM,12.074,,,,
136,05/12/19 03:00:00 AM,11.807,,,,
137,05/12/19 04:00:00 AM,11.565,,,,
138,05/12/19 05:00:00 AM,11.321,,,,
139,05/12/19 06:00:00 AM,11.102,,,,
140,05/12/19 07:00:00 AM,10.907,,,,
141,05/12/19 08:00:00 AM,10.810,,,,
142,05/12/19 09:00:00 AM,10.858,,,,
143,05/12/19 10:00:00 AM,10.907,,,,
144,05/12/19 11:00:00 AM,11.053,,,,
145,05/12/19 12:00:00 PM,11.273,,,,
146,05/12/19 01:00:00 PM,11.589,,,,
147,05/12/19 02:00:00 PM,11.832,,,,
148,05/12/19 03:00:00 PM,12.001,,,,
149,05/12/19 04:00:00 PM,12.122,,,,
150,05/12/19 05:00:00 PM,12.243,,,,
151,05/12/19 06:00:00 PM,12.437,,,,
152,05/12/19 07:00:00 PM,12.703,,,,
153,05/12/19 08:00:00 PM,12.775,,,,
154,05/12/19 09:00:00 PM,12.751,,,,
155,05/12/19 10:00:00 PM,12.799,,,,
156,05/12/19 11:00:00 PM,12.606,,,,
157,05/13/19 12:00:00 AM,12.292,,,,
158,05/13/19 01:00:00 AM,11.977,,,,
159,05/13/19 02:00:00 AM,11.613,,,,
160,05/13/19 03:00:00 AM,11.297,,,,
161,05/13/19 04:00:00 AM,11.005,,,,
162,05/13/19 05:00:00 AM,10.712,,,,
163,05/13/19 06:00:00 AM,10.467,,,,
164,05/13/19 07:00:00 AM,10.271,,,,
