"Plot Title: 10767519"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Detached (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Attached (LGR S/N: 10767519, SEN S/N: 10767519)","Host Connected (LGR S/N: 10767519, SEN S/N: 10767519)","Stopped (LGR S/N: 10767519, SEN S/N: 10767519)","End Of File (LGR S/N: 10767519, SEN S/N: 10767519)"
1,01/16/20 03:00:00 PM,22.011,Logged,,,,
2,01/16/20 04:00:00 PM,22.202,,,,,
3,01/16/20 05:00:00 PM,22.537,,,,,
4,01/16/20 06:00:00 PM,22.178,,,,,
5,01/16/20 07:00:00 PM,22.465,,,,,
6,01/16/20 08:00:00 PM,22.585,,,,,
7,01/16/20 09:00:00 PM,22.202,,,,,
8,01/16/20 10:00:00 PM,22.609,,,,,
9,01/16/20 11:00:00 PM,22.561,,,,,
10,01/17/20 12:00:00 AM,22.202,,,,,
11,01/17/20 01:00:00 AM,22.776,,,,,
12,01/17/20 02:00:00 AM,22.465,,,,,
13,01/17/20 03:00:00 AM,22.178,,,,,
14,01/17/20 04:00:00 AM,22.824,,,,,
15,01/17/20 05:00:00 AM,22.417,,,,,
16,01/17/20 06:00:00 AM,22.202,,,,,
17,01/17/20 07:00:00 AM,22.824,,,,,
18,01/17/20 08:00:00 AM,22.441,,,,,
19,01/17/20 09:00:00 AM,22.250,,,,,
20,01/17/20 10:00:00 AM,22.872,,,,,
21,01/17/20 11:00:00 AM,22.226,,,,,
22,01/17/20 12:00:00 PM,22.369,,,,,
23,01/17/20 01:00:00 PM,22.872,,,,,
24,01/17/20 02:00:00 PM,22.154,,,,,
25,01/17/20 03:00:00 PM,22.369,,,,,
26,01/17/20 04:00:00 PM,22.776,,,,,
27,01/17/20 05:00:00 PM,22.226,,,,,
28,01/17/20 06:00:00 PM,22.537,,,,,
29,01/17/20 07:00:00 PM,22.633,,,,,
30,01/17/20 08:00:00 PM,22.106,,,,,
31,01/17/20 09:00:00 PM,22.705,,,,,
32,01/17/20 10:00:00 PM,22.369,,,,,
33,01/17/20 11:00:00 PM,22.202,,,,,
34,01/18/20 12:00:00 AM,22.896,,,,,
35,01/18/20 01:00:00 AM,22.106,,,,,
36,01/18/20 02:00:00 AM,22.489,,,,,
37,01/18/20 03:00:00 AM,22.633,,,,,
38,01/18/20 04:00:00 AM,21.987,,,,,
39,01/18/20 05:00:00 AM,22.800,,,,,
40,01/18/20 06:00:00 AM,22.369,,,,,
41,01/18/20 07:00:00 AM,22.058,,,,,
42,01/18/20 08:00:00 AM,22.944,,,,,
43,01/18/20 09:00:00 AM,22.321,,,,,
44,01/18/20 10:00:00 AM,22.250,,,,,
45,01/18/20 11:00:00 AM,22.992,,,,,
46,01/18/20 12:00:00 PM,22.202,,,,,
47,01/18/20 01:00:00 PM,22.417,,,,,
48,01/18/20 02:00:00 PM,22.944,,,,,
49,01/18/20 03:00:00 PM,22.106,,,,,
50,01/18/20 04:00:00 PM,22.465,,,,,
51,01/18/20 05:00:00 PM,22.705,,,,,
52,01/18/20 06:00:00 PM,22.011,,,,,
53,01/18/20 07:00:00 PM,22.896,,,,,
54,01/18/20 08:00:00 PM,22.369,,,,,
55,01/18/20 09:00:00 PM,22.130,,,,,
56,01/18/20 10:00:00 PM,23.040,,,,,
57,01/18/20 11:00:00 PM,22.298,,,,,
58,01/19/20 12:00:00 AM,22.274,,,,,
59,01/19/20 01:00:00 AM,23.016,,,,,
60,01/19/20 02:00:00 AM,22.154,,,,,
61,01/19/20 03:00:00 AM,22.609,,,,,
62,01/19/20 04:00:00 AM,22.800,,,,,
63,01/19/20 05:00:00 AM,22.130,,,,,
64,01/19/20 06:00:00 AM,22.872,,,,,
65,01/19/20 07:00:00 AM,22.681,,,,,
66,01/19/20 08:00:00 AM,22.178,,,,,
67,01/19/20 09:00:00 AM,23.016,,,,,
68,01/19/20 10:00:00 AM,22.489,,,,,
69,01/19/20 11:00:00 AM,22.345,,,,,
70,01/19/20 12:00:00 PM,23.112,,,,,
71,01/19/20 01:00:00 PM,22.321,,,,,
72,01/19/20 02:00:00 PM,22.561,,,,,
73,01/19/20 03:00:00 PM,22.968,,,,,
74,01/19/20 04:00:00 PM,22.202,,,,,
75,01/19/20 05:00:00 PM,22.681,,,,,
76,01/19/20 06:00:00 PM,22.800,,,,,
