"Plot Title: 10324644"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324644, SEN S/N: 10324644)","Coupler Detached (LGR S/N: 10324644, SEN S/N: 10324644)","Coupler Attached (LGR S/N: 10324644, SEN S/N: 10324644)","Stopped (LGR S/N: 10324644, SEN S/N: 10324644)","End Of File (LGR S/N: 10324644, SEN S/N: 10324644)"
1,05/06/19 12:00:00 PM,18.889,Logged,,,
2,05/06/19 01:00:00 PM,19.365,,,,
3,05/06/19 02:00:00 PM,19.651,,,,
4,05/06/19 03:00:00 PM,19.865,,,,
5,05/06/19 04:00:00 PM,19.746,,,,
6,05/06/19 05:00:00 PM,19.341,,,,
7,05/06/19 06:00:00 PM,19.151,,,,
8,05/06/19 07:00:00 PM,18.961,,,,
9,05/06/19 08:00:00 PM,18.818,,,,
10,05/06/19 09:00:00 PM,18.699,,,,
11,05/06/19 10:00:00 PM,18.580,,,,
12,05/06/19 11:00:00 PM,18.533,,,,
13,05/07/19 12:00:00 AM,18.533,,,,
14,05/07/19 01:00:00 AM,18.533,,,,
15,05/07/19 02:00:00 AM,18.533,,,,
16,05/07/19 03:00:00 AM,18.580,,,,
17,05/07/19 04:00:00 AM,18.818,,,,
18,05/07/19 05:00:00 AM,19.008,,,,
19,05/07/19 06:00:00 AM,19.127,,,,
20,05/07/19 07:00:00 AM,19.008,,,,
21,05/07/19 08:00:00 AM,18.842,,,,
22,05/07/19 09:00:00 AM,18.723,,,,
23,05/07/19 10:00:00 AM,19.175,,,,
24,05/07/19 11:00:00 AM,19.294,,,,
25,05/07/19 12:00:00 PM,19.056,,,,
26,05/07/19 01:00:00 PM,18.866,,,,
27,05/07/19 02:00:00 PM,18.771,,,,
28,05/07/19 03:00:00 PM,18.842,,,,
29,05/07/19 04:00:00 PM,19.032,,,,
30,05/07/19 05:00:00 PM,19.246,,,,
31,05/07/19 06:00:00 PM,19.484,,,,
32,05/07/19 07:00:00 PM,19.698,,,,
33,05/07/19 08:00:00 PM,19.746,,,,
34,05/07/19 09:00:00 PM,19.770,,,,
35,05/07/19 10:00:00 PM,19.722,,,,
36,05/07/19 11:00:00 PM,19.555,,,,
37,05/08/19 12:00:00 AM,19.318,,,,
38,05/08/19 01:00:00 AM,19.056,,,,
39,05/08/19 02:00:00 AM,18.913,,,,
40,05/08/19 03:00:00 AM,18.889,,,,
41,05/08/19 04:00:00 AM,18.818,,,,
42,05/08/19 05:00:00 AM,18.771,,,,
43,05/08/19 06:00:00 AM,18.723,,,,
44,05/08/19 07:00:00 AM,18.675,,,,
45,05/08/19 08:00:00 AM,18.604,,,,
46,05/08/19 09:00:00 AM,18.533,,,,
47,05/08/19 10:00:00 AM,18.699,,,,
48,05/08/19 11:00:00 AM,18.509,,,,
49,05/08/19 12:00:00 PM,16.820,,,,
50,05/08/19 01:00:00 PM,16.129,,,,
