"Plot Title: 10537875"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10537875, SEN S/N: 10537875)","Coupler Detached (LGR S/N: 10537875, SEN S/N: 10537875)","Coupler Attached (LGR S/N: 10537875, SEN S/N: 10537875)","Host Connected (LGR S/N: 10537875, SEN S/N: 10537875)","Stopped (LGR S/N: 10537875, SEN S/N: 10537875)","End Of File (LGR S/N: 10537875, SEN S/N: 10537875)"
1,01/16/20 03:00:00 PM,21.843,Logged,,,,
2,01/16/20 04:00:00 PM,22.082,,,,,
3,01/16/20 05:00:00 PM,22.465,,,,,
4,01/16/20 06:00:00 PM,22.082,,,,,
5,01/16/20 07:00:00 PM,22.417,,,,,
6,01/16/20 08:00:00 PM,22.513,,,,,
7,01/16/20 09:00:00 PM,22.130,,,,,
8,01/16/20 10:00:00 PM,22.585,,,,,
9,01/16/20 11:00:00 PM,22.513,,,,,
10,01/17/20 12:00:00 AM,22.130,,,,,
11,01/17/20 01:00:00 AM,22.753,,,,,
12,01/17/20 02:00:00 AM,22.393,,,,,
13,01/17/20 03:00:00 AM,22.154,,,,,
14,01/17/20 04:00:00 AM,22.824,,,,,
15,01/17/20 05:00:00 AM,22.345,,,,,
16,01/17/20 06:00:00 AM,22.178,,,,,
17,01/17/20 07:00:00 AM,22.824,,,,,
18,01/17/20 08:00:00 AM,22.345,,,,,
19,01/17/20 09:00:00 AM,22.226,,,,,
20,01/17/20 10:00:00 AM,22.872,,,,,
21,01/17/20 11:00:00 AM,22.178,,,,,
22,01/17/20 12:00:00 PM,22.345,,,,,
23,01/17/20 01:00:00 PM,22.848,,,,,
24,01/17/20 02:00:00 PM,22.082,,,,,
25,01/17/20 03:00:00 PM,22.345,,,,,
26,01/17/20 04:00:00 PM,22.753,,,,,
27,01/17/20 05:00:00 PM,22.154,,,,,
28,01/17/20 06:00:00 PM,22.513,,,,,
29,01/17/20 07:00:00 PM,22.585,,,,,
30,01/17/20 08:00:00 PM,22.034,,,,,
31,01/17/20 09:00:00 PM,22.705,,,,,
32,01/17/20 10:00:00 PM,22.274,,,,,
33,01/17/20 11:00:00 PM,22.178,,,,,
34,01/18/20 12:00:00 AM,22.872,,,,,
35,01/18/20 01:00:00 AM,21.987,,,,,
36,01/18/20 02:00:00 AM,22.465,,,,,
37,01/18/20 03:00:00 AM,22.585,,,,,
38,01/18/20 04:00:00 AM,21.891,,,,,
39,01/18/20 05:00:00 AM,22.800,,,,,
40,01/18/20 06:00:00 AM,22.274,,,,,
41,01/18/20 07:00:00 AM,22.011,,,,,
42,01/18/20 08:00:00 AM,22.920,,,,,
43,01/18/20 09:00:00 AM,22.226,,,,,
44,01/18/20 10:00:00 AM,22.202,,,,,
45,01/18/20 11:00:00 AM,22.968,,,,,
46,01/18/20 12:00:00 PM,22.106,,,,,
47,01/18/20 01:00:00 PM,22.393,,,,,
48,01/18/20 02:00:00 PM,22.920,,,,,
49,01/18/20 03:00:00 PM,22.011,,,,,
50,01/18/20 04:00:00 PM,22.465,,,,,
51,01/18/20 05:00:00 PM,22.681,,,,,
52,01/18/20 06:00:00 PM,21.939,,,,,
53,01/18/20 07:00:00 PM,22.896,,,,,
54,01/18/20 08:00:00 PM,22.250,,,,,
55,01/18/20 09:00:00 PM,22.082,,,,,
56,01/18/20 10:00:00 PM,23.016,,,,,
57,01/18/20 11:00:00 PM,22.178,,,,,
58,01/19/20 12:00:00 AM,22.226,,,,,
59,01/19/20 01:00:00 AM,22.992,,,,,
60,01/19/20 02:00:00 AM,22.034,,,,,
61,01/19/20 03:00:00 AM,22.609,,,,,
62,01/19/20 04:00:00 AM,22.729,,,,,
63,01/19/20 05:00:00 AM,22.034,,,,,
64,01/19/20 06:00:00 AM,22.848,,,,,
65,01/19/20 07:00:00 AM,22.609,,,,,
66,01/19/20 08:00:00 AM,22.106,,,,,
67,01/19/20 09:00:00 AM,23.016,,,,,
68,01/19/20 10:00:00 AM,22.369,,,,,
69,01/19/20 11:00:00 AM,22.321,,,,,
70,01/19/20 12:00:00 PM,23.088,,,,,
71,01/19/20 01:00:00 PM,22.202,,,,,
72,01/19/20 02:00:00 PM,22.537,,,,,
73,01/19/20 03:00:00 PM,22.920,,,,,
74,01/19/20 04:00:00 PM,22.082,,,,,
75,01/19/20 05:00:00 PM,22.657,,,,,
76,01/19/20 06:00:00 PM,22.729,,,,,
77,01/19/20 07:00:00 PM,22.082,,,,,
78,01/19/20 08:00:00 PM,22.896,,,,,
79,01/19/20 09:00:00 PM,22.489,,,,,
80,01/19/20 10:00:00 PM,22.250,,,,,
81,01/19/20 11:00:00 PM,23.016,,,,,
82,01/20/20 12:00:00 AM,22.226,,,,,
83,01/20/20 01:00:00 AM,22.537,,,,,
84,01/20/20 02:00:00 AM,22.944,,,,,
85,01/20/20 03:00:00 AM,22.178,,,,,
86,01/20/20 04:00:00 AM,22.681,,,,,
87,01/20/20 05:00:00 AM,22.824,,,,,
