Site,meanTemp,maxTemp,minTemp,sdTemp
Cripple Creek,12.345593463845912,19.841,4.128,3.6499893477779946
First Bridge,8.489588712011578,15.127,1.8995,2.9491162903577073
First Bridge Slough,2.7622119918004784,11.867999999999999,0.6185,1.838741481248243
Little Chena,9.542985426989215,15.676,2.9695,2.9912308543206834
Loftus Road,11.559323711340205,27.949,2.155,4.85243239635936
Moose Creek Dam,10.55793320610687,30.2855,3.4065,4.028023188551049
Nordale,10.938181341107871,18.224,3.564,3.6477675747960423
Third Bridge,7.718216787264834,14.541,0.577,2.7815429767031765
Wegner Creek,5.239930396772024,9.324,1.5205,1.415704393959795
